ID,GENDER,AGE,MARITAL_STATUS,PROFESSION
81,M,20,Single,Student
82,M,20,Single,Student
83,M,52,Married,Retired
84,M,52,Married,Retired
85,M,37,Married,Sales
86,M,20,Single,Other
87,F,34,Married,Other
88,M,53,Married,Other
89,M,53,Married,Other
90,M,53,Married,Other
91,M,28,Married,Sales
92,M,38,Married,Other
93,F,36,Unspecified,Hospitality
94,M,31,Married,Trades
95,M,23,Single,Student
96,M,23,Single,Other
97,M,23,Single,Other
98,M,21,Single,Professional
99,M,39,Married,Sales
100,F,19,Single,Professional
101,F,19,Single,Professional
102,F,19,Single,Professional
103,M,43,Married,Other
104,F,21,Married,Retail
105,F,24,Single,Retail
106,F,24,Single,Retail
107,M,33,Married,Other
108,M,33,Married,Other
109,F,25,Single,Retail
110,M,35,Single,Sales
111,M,41,Married,Professional
112,M,34,Married,Trades
113,F,29,Single,Other
114,F,40,Married,Other
115,F,38,Married,Professional
116,M,38,Married,Other
117,F,41,Married,Other
118,F,41,Married,Other
119,F,41,Married,Other
120,M,41,Unspecified,Trades
121,M,34,Single,Other
122,F,28,Single,Professional
123,F,58,Married,Other
124,F,58,Married,Other
125,F,58,Married,Other
126,F,28,Married,Other
127,M,22,Single,Professional
128,F,39,Married,Other
129,F,20,Single,Other
130,F,24,Single,Other
131,F,57,Married,Other
132,M,24,Single,Professional
133,F,57,Married,Other
134,M,25,Single,Retail
135,M,25,Single,Sales
136,F,31,Married,Other
137,M,26,Single,Professional
138,F,68,Married,Other
139,F,19,Single,Retail
140,M,41,Married,Executive
141,M,25,Married,Other
142,M,20,Single,Trades
143,F,34,Single,Other
144,F,42,Unspecified,Hospitality
145,F,27,Married,Sales
146,F,29,Single,Retail
147,F,30,Single,Professional
148,F,25,Single,Professional
149,M,30,Married,Other
150,F,27,Single,Professional
151,M,29,Single,Professional
152,M,22,Single,Executive
153,M,29,Single,Professional
154,M,29,Single,Professional
155,M,29,Single,Professional
156,M,29,Single,Professional
157,F,20,Single,Other
158,F,26,Unspecified,Other
159,F,26,Unspecified,Other
160,F,26,Unspecified,Other
161,F,26,Unspecified,Other
162,F,46,Married,Other
163,M,40,Married,Sales
164,M,57,Married,Other
165,F,36,Single,Professional
166,F,26,Single,Sales
167,F,23,Single,Other
168,M,31,Married,Other
169,F,23,Single,Retail
170,M,23,Single,Sales
171,M,23,Single,Sales
172,M,33,Single,Trades
173,M,33,Single,Trades
174,F,21,Single,Sales
175,M,23,Single,Sales
176,M,23,Single,Sales
177,M,23,Single,Sales
178,M,23,Single,Sales
179,M,39,Married,Other
180,F,37,Married,Other
181,M,30,Married,Other
182,M,30,Married,Other
183,M,25,Single,Sales
184,M,25,Single,Sales
185,F,28,Married,Other
186,M,42,Married,Trades
187,F,52,Unspecified,Hospitality
188,F,52,Unspecified,Hospitality
189,F,52,Unspecified,Hospitality
190,M,44,Single,Other
191,M,44,Single,Other
192,F,35,Single,Professional
193,F,19,Single,Student
194,F,57,Unspecified,Hospitality
195,M,37,Married,Executive
196,M,28,Single,Other
197,F,28,Single,Other
198,F,28,Single,Other
199,M,35,Single,Executive
200,M,35,Single,Executive
201,F,25,Married,Other
202,F,25,Married,Other
203,F,25,Married,Other
204,F,28,Married,Sales
205,F,35,Married,Executive
206,F,31,Single,Retail
207,F,35,Married,Executive
208,M,35,Married,Other
209,M,21,Single,Professional
210,F,69,Married,Retired
211,M,30,Married,Other
212,M,21,Single,Sales
213,M,21,Single,Sales
214,M,21,Single,Sales
215,F,48,Married,Retired
216,F,48,Married,Retired
217,M,18,Single,Student
218,F,26,Single,Other
219,F,34,Married,Other
220,M,30,Single,Other
221,M,30,Single,Other
222,M,47,Married,Retired
223,F,22,Single,Student
224,F,19,Single,Other
225,M,42,Married,Other
226,M,42,Married,Other
227,F,25,Single,Professional
228,F,37,Unspecified,Hospitality
229,M,34,Married,Other
230,F,35,Married,Other
231,F,35,Married,Other
232,F,35,Married,Other
233,M,25,Married,Executive
234,M,25,Married,Executive
235,M,25,Married,Executive
236,M,25,Married,Executive
237,M,25,Married,Executive
238,M,42,Married,Other
239,M,42,Married,Other
240,M,42,Married,Other
241,F,45,Married,Hospitality
242,F,45,Married,Hospitality
243,F,36,Married,Executive
244,F,39,Married,Other
245,F,19,Single,Other
246,F,34,Married,Executive
247,M,44,Married,Sales
248,M,44,Married,Sales
249,F,44,Married,Executive
250,F,21,Single,Other
251,F,38,Married,Professional
252,F,49,Married,Hospitality
253,M,24,Single,Student
254,M,26,Married,Professional
255,M,26,Married,Professional
256,M,25,Married,Professional
257,F,32,Married,Other
258,F,32,Married,Other
259,M,29,Single,Professional
260,M,27,Single,Professional
261,F,20,Single,Other
262,M,40,Married,Other
263,M,40,Married,Other
264,F,21,Single,Other
265,M,32,Single,Trades
266,M,32,Single,Trades
267,F,27,Single,Student
268,M,34,Single,Executive
269,M,34,Single,Executive
270,F,40,Married,Other
271,F,31,Married,Other
272,F,31,Married,Other
273,F,31,Married,Other
274,M,20,Single,Other
275,M,20,Single,Other
276,M,20,Single,Other
277,F,22,Single,Other
278,F,40,Married,Retired
279,F,27,Single,Professional
280,F,42,Unspecified,Hospitality
281,F,42,Unspecified,Hospitality
282,F,48,Married,Retired
283,F,46,Married,Other
284,F,21,Single,Retail
285,M,20,Single,Student
286,F,19,Single,Hospitality
287,F,19,Single,Hospitality
288,M,30,Single,Professional
289,F,22,Single,Other
290,M,28,Married,Executive
291,M,28,Married,Executive
292,M,21,Single,Other
293,M,42,Single,Sales
294,F,45,Married,Executive
295,F,45,Married,Executive
296,F,45,Married,Executive
297,F,45,Married,Executive
298,M,29,Single,Trades
299,M,32,Single,Trades
300,M,32,Single,Trades
301,F,24,Single,Other
302,M,51,Married,Retired
303,M,51,Married,Retired
304,M,51,Married,Retired
305,F,43,Married,Executive
306,F,43,Married,Executive
307,F,31,Married,Professional
308,F,31,Married,Professional
309,F,31,Married,Professional
310,F,31,Married,Professional
311,F,38,Married,Other
312,F,43,Married,Professional
313,F,43,Married,Professional
314,F,44,Married,Retired
315,F,39,Married,Other
316,F,39,Married,Other
317,F,28,Single,Other
318,F,48,Married,Executive
319,F,48,Married,Executive
320,F,26,Single,Other
321,F,26,Single,Other
322,F,26,Single,Other
323,F,28,Married,Sales
324,F,25,Married,Sales
325,F,28,Single,Other
326,F,42,Married,Other
327,F,36,Married,Other
328,F,36,Married,Other
329,M,20,Single,Trades
330,F,42,Married,Other
331,F,20,Single,Sales
332,M,38,Single,Sales
333,M,38,Single,Sales
334,F,57,Unspecified,Hospitality
335,F,39,Married,Other
336,F,39,Married,Other
337,M,55,Married,Trades
338,M,55,Married,Trades
339,M,55,Married,Trades
340,M,35,Married,Professional
341,F,21,Single,Hospitality
342,M,35,Married,Sales
343,F,37,Single,Other
344,M,29,Single,Professional
345,M,29,Single,Professional
346,F,36,Married,Other
347,M,41,Married,Executive
348,M,41,Married,Executive
349,M,44,Married,Sales
350,M,39,Married,Other
351,M,39,Married,Other
352,F,29,Single,Other
353,M,27,Single,Sales
354,M,26,Single,Professional
355,M,26,Single,Professional
356,F,25,Single,Sales
357,F,28,Single,Other
358,F,28,Single,Other
359,M,56,Married,Other
360,M,56,Married,Other
361,M,29,Single,Professional
362,F,39,Unspecified,Hospitality
363,F,39,Unspecified,Hospitality
364,F,25,Married,Sales
365,F,28,Single,Professional
366,M,31,Single,Trades
367,M,37,Married,Sales
368,M,21,Single,Trades
369,M,41,Married,Other
370,F,48,Married,Professional
371,M,31,Married,Other
372,F,36,Single,Other
373,M,47,Married,Trades
374,F,36,Married,Executive
375,M,34,Unspecified,Professional
376,M,34,Unspecified,Professional
377,M,34,Unspecified,Professional
378,F,44,Married,Other
379,F,44,Married,Other
380,M,20,Single,Student
381,M,38,Married,Executive
382,M,38,Married,Executive
383,M,28,Single,Other
384,F,23,Single,Sales
385,M,28,Single,Student
386,M,22,Single,Sales
387,M,22,Single,Sales
388,F,49,Married,Hospitality
389,F,37,Married,Other
390,M,31,Married,Professional
391,F,39,Unspecified,Other
392,F,39,Unspecified,Other
393,F,28,Single,Retail
394,F,50,Married,Other
395,M,37,Married,Professional
396,M,37,Married,Professional
397,M,47,Married,Retired
398,F,69,Married,Other
399,F,69,Married,Other
400,M,28,Single,Professional
401,F,29,Single,Retail
402,F,28,Single,Professional
403,F,24,Single,Other
404,M,28,Single,Sales
405,M,27,Single,Other
406,F,36,Married,Other
407,F,36,Married,Other
408,M,29,Single,Other
409,M,44,Married,Trades
410,F,37,Married,Retail
411,F,37,Married,Retail
412,F,45,Married,Sales
413,F,48,Married,Other
414,F,38,Single,Retail
415,M,19,Single,Student
416,M,58,Married,Professional
417,M,58,Married,Professional
418,F,67,Unspecified,Hospitality
419,F,46,Married,Other
420,F,47,Married,Executive
421,M,31,Unspecified,Sales
422,F,21,Single,Student
423,M,55,Married,Other
424,M,55,Married,Other
425,M,55,Married,Other
426,M,20,Single,Other
427,M,20,Single,Other
428,M,21,Single,Other
429,M,21,Single,Other
430,M,42,Married,Executive
431,M,42,Married,Executive
432,M,42,Married,Executive
433,M,31,Single,Professional
434,F,27,Married,Other
435,F,20,Single,Professional
436,M,44,Married,Sales
437,M,44,Married,Sales
438,M,38,Single,Other
439,M,38,Single,Other
440,M,38,Single,Other
441,F,30,Married,Other
442,F,30,Married,Other
443,M,29,Married,Other
444,M,29,Married,Other
445,M,29,Married,Other
446,M,32,Married,Sales
447,M,44,Married,Sales
448,M,44,Married,Sales
449,F,42,Unspecified,Hospitality
450,F,45,Married,Other
451,F,28,Single,Other
452,F,28,Single,Other
453,F,27,Single,Other
454,F,32,Married,Executive
455,M,28,Single,Other
456,M,28,Single,Other
457,M,29,Single,Professional
458,F,35,Married,Other
459,M,52,Married,Professional
460,F,33,Married,Executive
461,M,35,Single,Professional
462,M,25,Married,Other
463,M,23,Single,Professional
464,M,23,Single,Professional
465,M,36,Single,Executive
466,M,36,Single,Executive
467,M,37,Married,Other
468,M,37,Married,Other
469,F,26,Single,Other
470,F,33,Married,Other
471,M,27,Married,Other
472,F,23,Single,Other
473,F,23,Single,Other
474,F,23,Single,Other
475,M,25,Single,Sales
476,M,22,Single,Trades
477,M,22,Single,Trades
478,M,29,Single,Trades
479,F,32,Married,Other
480,F,32,Married,Other
481,F,32,Married,Other
482,F,40,Married,Other
483,F,40,Married,Other
484,F,40,Married,Other
485,F,40,Married,Other
486,M,52,Married,Other
487,M,52,Married,Other
488,M,52,Married,Other
489,F,27,Married,Executive
490,F,28,Single,Other
491,M,38,Single,Executive
492,F,36,Single,Retail
493,M,37,Married,Executive
494,M,37,Married,Executive
495,M,37,Married,Executive
496,M,41,Married,Other
497,F,21,Married,Other
498,M,31,Married,Sales
499,M,31,Married,Sales
500,M,41,Married,Trades
501,M,34,Married,Other
502,M,27,Single,Trades
503,M,27,Single,Trades
504,M,27,Single,Trades
505,M,27,Single,Trades
506,M,24,Unspecified,Other
507,M,19,Single,Other
508,M,19,Single,Other
509,M,29,Single,Retail
510,M,29,Single,Retail
511,F,36,Married,Other
512,F,36,Married,Other
513,F,36,Married,Other
514,F,36,Married,Other
515,F,27,Married,Retail
516,M,17,Single,Student
517,F,21,Unspecified,Other
518,F,21,Unspecified,Other
519,F,21,Unspecified,Other
520,M,46,Married,Trades
521,M,46,Married,Trades
522,F,21,Single,Retail
523,M,29,Married,Sales
524,M,29,Married,Sales
525,M,23,Single,Sales
526,M,23,Single,Sales
527,F,24,Single,Student
528,F,39,Single,Professional
529,F,26,Married,Retail
530,M,29,Single,Trades
531,F,54,Married,Other
532,F,54,Married,Other
533,F,24,Single,Student
534,M,30,Married,Sales
535,M,30,Married,Sales
536,M,40,Married,Other
537,F,48,Married,Executive
538,F,45,Married,Executive
539,F,45,Married,Executive
540,M,31,Single,Trades
541,M,33,Married,Sales
542,F,23,Single,Student
543,M,19,Single,Sales
544,F,67,Married,Retired
545,F,23,Single,Retail
546,F,19,Single,Other
547,M,19,Single,Student
548,M,26,Single,Trades
549,M,26,Single,Trades
550,M,38,Married,Other
551,M,20,Single,Sales
552,M,20,Single,Sales
553,M,43,Single,Sales
554,M,36,Married,Executive
555,F,25,Single,Other
556,F,25,Single,Other
557,M,25,Single,Trades
558,M,25,Single,Trades
559,F,45,Married,Other
560,F,45,Married,Other
561,F,45,Married,Other
562,F,45,Married,Other
563,M,44,Single,Professional
564,F,22,Single,Student
565,F,45,Married,Retired
566,F,33,Married,Professional
567,F,33,Married,Professional
568,F,33,Married,Professional
569,F,33,Married,Professional
570,M,20,Single,Student
571,M,19,Single,Student
572,F,36,Married,Sales
573,F,29,Single,Other
574,F,29,Single,Other
575,F,27,Single,Other
576,F,67,Unspecified,Hospitality
577,M,40,Married,Other
578,F,30,Single,Retail
579,F,29,Single,Other
580,F,29,Single,Other
581,F,39,Unspecified,Other
582,F,24,Single,Other
583,M,43,Married,Other
584,M,43,Married,Other
585,M,43,Married,Other
586,M,43,Married,Other
587,M,43,Married,Other
588,F,37,Single,Professional
589,M,41,Married,Trades
590,F,45,Unspecified,Hospitality
591,F,45,Unspecified,Hospitality
592,F,45,Unspecified,Hospitality
593,F,27,Single,Student
594,F,27,Single,Student
595,F,19,Single,Other
596,F,50,Married,Other
597,F,39,Married,Executive
598,M,57,Unspecified,Other
599,M,57,Unspecified,Other
600,M,57,Unspecified,Other
601,M,57,Unspecified,Other
602,F,29,Single,Retail
603,M,31,Married,Other
604,F,49,Married,Hospitality
605,F,49,Married,Hospitality
606,M,23,Single,Trades
607,M,23,Single,Trades
608,F,27,Single,Student
609,M,20,Single,Student
610,M,20,Single,Student
611,M,25,Single,Sales
612,M,21,Unspecified,Other
613,M,21,Unspecified,Other
614,M,30,Married,Trades
615,F,49,Married,Other
616,F,24,Single,Professional
617,M,43,Married,Trades
618,M,43,Married,Trades
619,F,55,Married,Retired
620,F,55,Married,Retired
621,M,18,Single,Student
622,F,31,Single,Professional
623,F,37,Married,Sales
624,F,28,Single,Student
625,F,28,Single,Student
626,F,30,Married,Other
627,F,30,Married,Other
628,M,27,Married,Sales
629,M,27,Married,Sales
630,F,20,Single,Other
631,M,41,Married,Trades
632,M,19,Single,Trades
633,M,19,Single,Trades
634,F,49,Married,Sales
635,F,43,Married,Other
636,M,34,Married,Professional
637,M,34,Married,Professional
638,M,34,Married,Professional
639,F,26,Married,Retail
640,F,26,Married,Retail
641,M,59,Married,Other
642,M,59,Married,Other
643,M,59,Married,Other
644,F,20,Single,Other
645,F,20,Single,Other
646,M,36,Married,Other
647,F,48,Married,Sales
648,F,40,Married,Other
649,M,42,Married,Trades
650,F,63,Married,Other
651,F,28,Married,Other
652,F,24,Single,Retail
653,M,43,Married,Professional
654,M,43,Married,Professional
655,M,38,Married,Other
656,M,38,Married,Other
657,M,38,Married,Other
658,F,25,Married,Other
659,M,51,Married,Professional
660,M,51,Married,Professional
661,M,51,Married,Professional
662,F,29,Single,Other
663,M,32,Married,Executive
664,F,42,Married,Retail
665,F,48,Married,Professional
666,M,25,Single,Other
667,F,43,Unspecified,Sales
668,M,46,Married,Retired
669,M,46,Married,Retired
670,M,46,Married,Retired
671,M,46,Married,Retired
672,F,62,Married,Other
673,M,22,Single,Other
674,M,22,Single,Other
675,F,32,Single,Professional
676,M,27,Single,Sales
677,F,47,Married,Retired
678,M,30,Married,Sales
679,M,30,Married,Sales
680,F,19,Single,Other
681,F,20,Single,Sales
682,M,36,Married,Professional
683,M,29,Single,Trades
684,F,57,Married,Other
685,F,57,Married,Other
686,F,28,Single,Other
687,F,31,Single,Professional
688,F,26,Single,Student
689,M,21,Single,Sales
690,F,29,Single,Student
691,F,29,Single,Student
692,M,23,Single,Student
693,M,41,Married,Other
694,M,41,Married,Other
695,F,39,Unspecified,Hospitality
696,F,39,Unspecified,Hospitality
697,M,40,Married,Sales
698,M,40,Married,Sales
699,F,37,Married,Executive
700,F,37,Married,Executive
701,M,31,Married,Professional
702,M,19,Single,Student
703,M,20,Single,Professional
704,F,66,Married,Retired
705,F,47,Married,Executive
706,F,27,Single,Other
707,M,33,Single,Professional
708,M,33,Single,Professional
709,F,26,Single,Other
710,F,42,Married,Other
711,F,42,Married,Other
712,F,25,Single,Other
713,F,39,Married,Other
714,F,39,Married,Other
715,F,39,Single,Retail
716,F,39,Single,Retail
717,F,39,Single,Retail
718,M,27,Single,Sales
719,F,19,Single,Professional
720,F,19,Single,Professional
721,F,22,Single,Student
722,F,39,Married,Other
723,F,39,Married,Other
724,F,23,Single,Retail
725,M,25,Married,Professional
726,F,29,Single,Other
727,M,43,Married,Sales
728,M,36,Single,Other
729,M,36,Single,Other
730,M,36,Single,Other
731,M,35,Single,Executive
732,F,19,Single,Student
733,F,19,Single,Student
734,F,25,Single,Sales
735,M,38,Married,Other
736,M,38,Married,Other
737,F,20,Single,Other
738,M,39,Single,Professional
739,M,39,Single,Professional
740,F,23,Married,Other
741,F,38,Married,Other
742,M,38,Single,Executive
743,M,38,Single,Executive
744,M,38,Single,Executive
745,M,38,Married,Other
746,F,42,Unspecified,Hospitality
747,F,24,Married,Retail
748,F,44,Married,Hospitality
749,F,44,Married,Hospitality
750,F,44,Married,Hospitality
751,M,41,Married,Trades
752,M,41,Married,Trades
753,M,41,Married,Trades
754,M,41,Married,Trades
755,F,25,Married,Sales
756,M,54,Married,Professional
757,M,51,Married,Retired
758,M,51,Married,Retired
759,F,31,Married,Other
760,F,25,Married,Other
761,M,20,Single,Other
762,M,20,Single,Other
763,F,37,Unspecified,Other
764,F,37,Unspecified,Other
765,F,29,Single,Retail
766,M,40,Unspecified,Other
767,M,40,Unspecified,Other
768,F,33,Married,Other
769,F,49,Married,Executive
770,F,49,Married,Executive
771,F,49,Married,Executive
772,M,21,Single,Trades
773,M,21,Single,Trades
774,F,49,Married,Hospitality
775,F,49,Married,Hospitality
776,M,30,Single,Other
777,M,20,Single,Sales
778,M,24,Single,Retail
779,M,24,Single,Retail
780,M,30,Single,Other
781,M,33,Single,Trades
782,M,33,Single,Trades
783,M,25,Single,Sales
784,F,36,Unspecified,Professional
785,F,36,Unspecified,Professional
786,F,28,Single,Other
787,F,44,Married,Other
788,M,43,Single,Sales
789,M,33,Married,Professional
790,M,42,Married,Executive
791,M,26,Single,Other
792,M,18,Single,Student
793,F,29,Single,Retail
794,M,43,Married,Sales
795,M,36,Married,Other
796,M,36,Married,Other
797,M,43,Married,Other
798,F,28,Single,Professional
799,F,29,Single,Other
800,M,41,Single,Executive
801,M,41,Single,Executive
802,M,41,Single,Executive
803,M,36,Married,Sales
804,M,36,Married,Sales
805,M,36,Married,Sales
806,M,52,Married,Professional
807,M,52,Married,Professional
808,M,24,Single,Sales
809,M,24,Single,Sales
810,M,49,Unspecified,Trades
811,M,49,Unspecified,Trades
812,F,34,Married,Other
813,F,34,Married,Other
814,F,34,Married,Other
815,F,22,Single,Hospitality
816,M,24,Single,Trades
817,F,49,Married,Professional
818,M,24,Single,Student
819,M,24,Single,Student
820,M,37,Married,Sales
821,F,25,Married,Executive
822,F,34,Married,Hospitality
823,M,42,Married,Trades
824,M,34,Married,Other
825,M,41,Married,Trades
826,M,32,Married,Sales
827,M,25,Married,Other
828,M,25,Married,Other
829,M,23,Single,Other
830,F,37,Married,Other
831,F,46,Unspecified,Hospitality
832,F,46,Unspecified,Hospitality
833,F,46,Unspecified,Hospitality
834,F,46,Unspecified,Hospitality
835,F,46,Unspecified,Hospitality
836,F,46,Unspecified,Hospitality
837,F,34,Single,Other
838,M,21,Single,Sales
839,M,37,Unspecified,Sales
840,F,27,Single,Other
841,M,20,Single,Professional
842,F,55,Married,Other
843,M,42,Married,Sales
844,M,40,Married,Other
845,F,34,Married,Other
846,F,34,Married,Other
847,F,34,Married,Other
848,M,27,Single,Other
849,M,27,Single,Other
850,F,62,Married,Retired
851,M,24,Single,Trades
852,M,24,Single,Trades
853,M,29,Married,Other
854,F,26,Single,Professional
855,F,34,Married,Executive
856,M,28,Married,Sales
857,M,28,Married,Sales
858,F,20,Married,Retail
859,F,41,Unspecified,Hospitality
860,M,22,Single,Sales
861,M,42,Single,Other
862,M,44,Married,Other
863,M,32,Married,Trades
864,M,32,Married,Trades
865,F,51,Married,Other
866,M,32,Single,Executive
867,M,44,Married,Other
868,F,42,Married,Other
869,M,38,Married,Executive
870,M,38,Married,Executive
871,M,26,Single,Other
872,M,39,Single,Executive
873,M,39,Single,Executive
874,M,39,Single,Executive
875,M,39,Single,Executive
876,M,40,Single,Sales
877,M,40,Single,Sales
878,M,43,Single,Other
879,M,42,Married,Sales
880,M,42,Married,Sales
881,M,43,Married,Trades
882,F,47,Married,Sales
883,M,28,Single,Sales
884,F,27,Single,Professional
885,F,29,Single,Other
886,F,41,Married,Other
887,F,41,Married,Other
888,F,54,Married,Other
889,F,33,Married,Other
890,M,28,Single,Other
891,M,28,Single,Other
892,F,31,Married,Hospitality
893,M,34,Married,Other
894,M,34,Married,Other
895,F,42,Married,Other
896,F,42,Married,Other
897,F,42,Married,Other
898,M,19,Single,Retail
899,M,19,Single,Retail
900,M,19,Single,Retail
901,M,19,Single,Retail
902,F,22,Single,Other
903,F,31,Married,Executive
904,F,31,Married,Executive
905,F,31,Married,Executive
906,F,31,Married,Executive
907,F,55,Married,Other
908,M,48,Married,Other
909,M,48,Married,Other
910,M,29,Single,Other
911,M,29,Single,Other
912,F,29,Married,Executive
913,F,26,Single,Retail
914,M,23,Single,Sales
915,F,29,Single,Professional
916,F,29,Single,Professional
917,M,25,Single,Retail
918,F,61,Married,Other
919,F,49,Married,Hospitality
920,F,49,Married,Hospitality
921,M,38,Married,Other
922,M,38,Married,Other
923,M,38,Married,Other
924,F,33,Married,Executive
925,M,39,Single,Professional
926,M,39,Single,Professional
927,M,39,Single,Professional
928,M,39,Single,Professional
929,M,36,Married,Executive
930,F,33,Married,Other
931,F,33,Married,Other
932,F,21,Single,Other
933,F,49,Married,Retired
934,M,34,Married,Other
935,F,36,Married,Sales
936,F,23,Single,Sales
937,F,43,Married,Other
938,F,33,Married,Executive
939,F,33,Married,Executive
940,F,33,Married,Executive
941,M,43,Married,Other
942,M,43,Married,Other
943,M,40,Married,Other
944,F,19,Single,Professional
945,M,21,Single,Other
946,M,21,Single,Other
947,M,21,Single,Other
948,M,31,Single,Student
949,M,23,Single,Other
950,M,28,Single,Sales
951,M,28,Single,Sales
952,M,28,Single,Sales
953,F,29,Single,Professional
954,F,20,Single,Retail
955,M,38,Married,Executive
956,M,38,Married,Executive
957,M,23,Single,Student
958,F,45,Unspecified,Hospitality
959,F,45,Unspecified,Hospitality
960,F,32,Single,Professional
961,F,65,Married,Retired
962,M,30,Married,Sales
963,F,40,Unspecified,Sales
964,M,24,Single,Retail
965,M,24,Single,Retail
966,F,45,Married,Other
967,F,45,Married,Other
968,F,43,Married,Other
969,F,43,Married,Other
970,M,25,Single,Executive
971,M,25,Single,Executive
972,M,26,Married,Other
973,M,38,Married,Executive
974,M,38,Married,Executive
975,M,19,Single,Other
976,M,19,Single,Other
977,F,21,Single,Other
978,M,37,Married,Sales
979,M,37,Married,Sales
980,F,43,Married,Retired
981,F,20,Single,Other
982,F,20,Single,Other
983,F,20,Single,Other
984,M,36,Married,Professional
985,M,22,Single,Student
986,F,51,Married,Other
987,M,34,Married,Other
988,M,34,Married,Other
989,M,37,Married,Sales
990,M,37,Married,Sales
991,F,25,Single,Other
992,F,34,Married,Executive
993,F,34,Married,Executive
994,M,26,Single,Professional
995,F,20,Single,Other
996,F,28,Single,Sales
997,M,21,Single,Retail
998,M,21,Single,Retail
999,F,31,Married,Other
1000,F,31,Married,Other
1001,M,19,Single,Other
1002,M,43,Married,Other
1003,M,23,Single,Other
1004,M,30,Married,Sales
1005,M,30,Married,Sales
1006,F,28,Single,Professional
1007,F,39,Unspecified,Hospitality
1008,F,39,Unspecified,Hospitality
1009,M,29,Married,Executive
1010,M,29,Married,Executive
1011,M,52,Married,Retired
1012,M,52,Married,Retired
1013,F,29,Married,Professional
1014,F,32,Married,Executive
1015,F,28,Single,Professional
1016,M,27,Single,Other
1017,M,27,Single,Other
1018,F,47,Married,Executive
1019,F,27,Single,Student
1020,F,31,Married,Other
1021,F,31,Married,Other
1022,F,31,Married,Other
1023,F,31,Married,Other
1024,F,33,Married,Executive
1025,F,33,Married,Executive
1026,F,42,Married,Executive
1027,F,20,Single,Professional
1028,M,33,Single,Trades
1029,M,33,Single,Trades
1030,M,33,Single,Trades
1031,M,20,Single,Sales
1032,F,27,Married,Executive
1033,M,43,Single,Other
1034,F,21,Married,Retail
1035,F,21,Married,Retail
1036,F,33,Married,Other
1037,F,43,Married,Retired
1038,F,43,Married,Retired
1039,F,28,Married,Other
1040,F,51,Married,Other
1041,F,21,Single,Other
1042,M,26,Single,Other
1043,F,35,Married,Other
1044,M,38,Married,Other
1045,M,38,Married,Other
1046,F,51,Married,Other
1047,F,31,Single,Professional
1048,F,53,Married,Other
1049,M,41,Married,Other
1050,M,41,Married,Other
1051,F,22,Single,Professional
1052,M,36,Married,Professional
1053,F,30,Married,Executive
1054,F,30,Married,Executive
1055,F,34,Married,Hospitality
1056,F,34,Married,Hospitality
1057,F,23,Single,Professional
1058,M,38,Single,Sales
1059,F,49,Married,Retired
1060,F,57,Married,Other
1061,F,23,Single,Other
1062,M,28,Single,Professional
1063,F,26,Single,Professional
1064,F,33,Unspecified,Professional
1065,M,19,Single,Executive
1066,M,19,Single,Executive
1067,M,19,Single,Other
1068,M,19,Single,Other
1069,F,36,Married,Executive
1070,F,25,Married,Other
1071,F,25,Married,Other
1072,M,30,Married,Sales
1073,M,36,Single,Sales
1074,M,36,Single,Sales
1075,F,27,Single,Other
1076,F,43,Married,Other
